,survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,deck,embark_town,alive,alone,age2,sex2,famaily,family
0,0,3,male,22.0,1,0,7.25,S,Third,man,True,C,Southampton,no,False,2,1,2,2
1,1,1,female,38.0,1,0,71.2833,C,First,woman,False,C,Cherbourg,yes,False,3,2,2,2
2,1,3,female,26.0,0,0,7.925,S,Third,woman,False,C,Southampton,yes,True,2,2,1,1
3,1,1,female,35.0,1,0,53.1,S,First,woman,False,C,Southampton,yes,False,3,2,2,2
4,0,3,male,35.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,3,1,1,1
5,0,3,male,29.69911764705882,0,0,8.4583,Q,Third,man,True,C,Queenstown,no,True,2,1,1,1
6,0,1,male,54.0,0,0,51.8625,S,First,man,True,E,Southampton,no,True,5,1,1,1
7,0,3,male,2.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,0,1,5,5
8,1,3,female,27.0,0,2,11.1333,S,Third,woman,False,C,Southampton,yes,False,2,2,3,3
9,1,2,female,14.0,1,0,30.0708,C,Second,child,False,C,Cherbourg,yes,False,1,2,2,2
10,1,3,female,4.0,1,1,16.7,S,Third,child,False,G,Southampton,yes,False,0,2,3,3
11,1,1,female,58.0,0,0,26.55,S,First,woman,False,C,Southampton,yes,True,5,2,1,1
12,0,3,male,20.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,2,1,1,1
13,0,3,male,39.0,1,5,31.275,S,Third,man,True,C,Southampton,no,False,3,1,7,7
14,0,3,female,14.0,0,0,7.8542,S,Third,child,False,C,Southampton,no,True,1,2,1,1
15,1,2,female,55.0,0,0,16.0,S,Second,woman,False,C,Southampton,yes,True,5,2,1,1
16,0,3,male,2.0,4,1,29.125,Q,Third,child,False,C,Queenstown,no,False,0,1,6,6
17,1,2,male,29.69911764705882,0,0,13.0,S,Second,man,True,C,Southampton,yes,True,2,1,1,1
18,0,3,female,31.0,1,0,18.0,S,Third,woman,False,C,Southampton,no,False,3,2,2,2
19,1,3,female,29.69911764705882,0,0,7.225,C,Third,woman,False,C,Cherbourg,yes,True,2,2,1,1
20,0,2,male,35.0,0,0,26.0,S,Second,man,True,C,Southampton,no,True,3,1,1,1
21,1,2,male,34.0,0,0,13.0,S,Second,man,True,D,Southampton,yes,True,3,1,1,1
22,1,3,female,15.0,0,0,8.0292,Q,Third,child,False,C,Queenstown,yes,True,1,2,1,1
23,1,1,male,28.0,0,0,35.5,S,First,man,True,A,Southampton,yes,True,2,1,1,1
24,0,3,female,8.0,3,1,21.075,S,Third,child,False,C,Southampton,no,False,0,2,5,5
25,1,3,female,38.0,1,5,31.3875,S,Third,woman,False,C,Southampton,yes,False,3,2,7,7
26,0,3,male,29.69911764705882,0,0,7.225,C,Third,man,True,C,Cherbourg,no,True,2,1,1,1
27,0,1,male,19.0,3,2,263.0,S,First,man,True,C,Southampton,no,False,1,1,6,6
28,1,3,female,29.69911764705882,0,0,7.8792,Q,Third,woman,False,C,Queenstown,yes,True,2,2,1,1
29,0,3,male,29.69911764705882,0,0,7.8958,S,Third,man,True,C,Southampton,no,True,2,1,1,1
30,0,1,male,40.0,0,0,27.7208,C,First,man,True,C,Cherbourg,no,True,4,1,1,1
31,1,1,female,29.69911764705882,1,0,146.5208,C,First,woman,False,B,Cherbourg,yes,False,2,2,2,2
32,1,3,female,29.69911764705882,0,0,7.75,Q,Third,woman,False,C,Queenstown,yes,True,2,2,1,1
33,0,2,male,66.0,0,0,10.5,S,Second,man,True,C,Southampton,no,True,6,1,1,1
34,0,1,male,28.0,1,0,82.1708,C,First,man,True,C,Cherbourg,no,False,2,1,2,2
35,0,1,male,42.0,1,0,52.0,S,First,man,True,C,Southampton,no,False,4,1,2,2
36,1,3,male,29.69911764705882,0,0,7.2292,C,Third,man,True,C,Cherbourg,yes,True,2,1,1,1
37,0,3,male,21.0,0,0,8.05,S,Third,man,True,C,Southampton,no,True,2,1,1,1
